full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
hiyouga/LlamaFactory,8712,1016,334,13422,0,1,71330
fffaraz/awesome-cpp,8291,307,2045,2490,0,1,71291
protocolbuffers/protobuf,16130,273,2021,223077,1,1,71237
hakimel/reveal.js,16801,897,1625,35218,1,1,71223
binhnguyennus/awesome-scalability,6994,21,1887,1607,0,1,71055
TapXWorld/ChinaTextbook,15915,109,582,43543927,1,0,71050
danielmiessler/SecLists,25008,9,1986,3296508,1,0,70962
binary-husky/gpt_academic,8395,324,290,72756,1,0,70670
AppFlowy-IO/AppFlowy,5240,975,374,93896,0,0,70624
nektos/act,1921,325,193,17787,0,0,70301
swiftlang/swift,10720,8948,2390,1340538,0,0,69990
expressjs/express,23349,212,1671,9819,1,0,69030
ansible/ansible,24180,800,1856,264612,0,0,68581
base/node,3234,49,318,3036,1,0,68567
NationalSecurityAgency/ghidra,7533,1885,1101,408337,1,0,68549
juliangarnier/anime,4609,102,774,178978,1,1,68486
prakhar1989/awesome-courses,8362,60,2294,1401,0,1,68462
toeverything/AFFiNE,4859,622,281,434434,0,0,68454
bytedance/deer-flow,9064,811,294,35581,0,0,68054
FoundationAgents/MetaGPT,8677,126,911,184037,1,0,68051
chrislgarry/Apollo-11,7685,130,1350,3427,1,0,67863
OpenBB-finance/OpenBB,6809,81,450,2416643,0,1,67678
chartjs/Chart.js,11950,564,1341,43572,0,0,67420
labmlai/annotated_deep_learning_paper_implementations,6715,32,496,156370,1,1,66745
leonardomso/33-js-concepts,9189,4,1186,2935,1,0,66435
apache/echarts,19810,1652,1953,267676,1,0,66365
xtekky/gpt4free,13583,3,485,171342,1,0,66232
scikit-learn/scikit-learn,27026,2022,2119,182927,1,0,66106
paperclipai/paperclip,12015,3841,360,61390,0,0,65975
webpack/webpack,9357,202,1405,82109,0,0,65768
unclecode/crawl4ai,6730,88,363,150525,1,0,65750
sindresorhus/awesome-nodejs,6226,26,1639,1558,0,0,65724
TheAlgorithms/Java,21149,34,2171,7371,0,0,65661
bradtraversy/design-resources-for-developers,12024,19,1041,5040,1,0,65559
lydiahallie/javascript-questions,9219,51,1261,4330,1,0,65326
kelseyhightower/nocode,4830,4715,363,5,1,0,65284
kdn251/interviews,12897,119,2571,24462,1,0,64936
localstack/localstack,4737,0,512,57561,0,0,64936
facebook/docusaurus,9883,395,433,1161342,0,1,64931
gorhill/uBlock,4113,17,1032,163217,1,1,64734
unslothai/unsloth,5679,1233,348,77462,0,0,64423
alacritty/alacritty,3461,336,448,14628,1,0,64085
prometheus/prometheus,10411,773,1100,281173,1,0,64083
keras-team/keras,19775,187,1854,53032,1,0,64074
BurntSushi/ripgrep,2563,192,281,5472,0,0,63841
openinterpreter/open-interpreter,5545,324,459,100555,0,0,63553
LadybirdBrowser/ladybird,3033,651,293,447248,0,0,63392
opendatalab/MinerU,5343,16,240,154510,0,1,63374
pathwaycom/pathway,1674,38,114,141864,0,0,63298
traefik/traefik,5996,824,669,157740,0,0,63187
socketio/socket.io,10148,210,1472,33155,0,1,63079
nocodb/nocodb,4774,700,394,1428618,1,0,63059
ryanoasis/nerd-fonts,3920,74,402,27438617,1,1,63009
