full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
microsoft/MS-DOS,4634,3,4,120196,0,0,32109
The-Run-Philosophy-Organization/run,2563,47,381,411061,1,0,32073
numpy/numpy,12373,2376,599,175307,1,0,32045
OWASP/CheatSheetSeries,4453,49,563,2340584,0,1,32034
tokio-rs/tokio,3055,422,315,17148,0,0,32011
linexjlin/GPTs,4393,13,340,718,1,0,31990
blakeblackshear/frigate,3090,124,241,121916,1,1,31978
motiondivision/motion,1170,121,112,1659940,0,0,31970
hasura/graphql-engine,2880,2370,314,5194959,1,1,31967
dokku/dokku,2034,29,337,23690,1,0,31880
niklasvh/html2canvas,4885,1051,494,117300,0,1,31854
airbnb/lottie-web,2921,847,441,358131,1,0,31849
Trinea/android-open-project,11847,31,3515,2181,1,0,31830
conductor-oss/conductor,894,166,48,38683,0,1,31829
kubernetes/minikube,5223,605,471,300159,0,0,31805
telegramdesktop/tdesktop,6717,984,897,274720,1,1,31797
codex-team/editor.js,2236,690,244,20680,0,0,31760
amix/vimrc,7265,21,771,32472,1,0,31760
waydabber/BetterDisplay,605,145,83,15831,1,1,31751
containers/podman,3113,1081,221,178861,1,0,31703
pear-devs/pear-desktop,1814,656,164,21689,1,0,31693
facebook/rocksdb,6827,1510,982,240544,1,1,31683
ianstormtaylor/slate,3322,658,296,26789,0,0,31679
ReactiveX/rxjs,2992,295,444,49357,0,0,31678
kepano/obsidian-skills,2196,38,190,42,1,0,31675
Chanzhaoyu/chatgpt-web,10855,1,1,6223,1,0,31671
tailscale/tailscale,2566,4297,200,80580,1,0,31639
hehonghui/awesome-english-ebooks,2602,0,752,14490446,1,0,31601
alpinejs/alpine,1364,1,223,8967,0,0,31579
DevToys-app/DevToys,1750,330,157,229285,0,0,31525
influxdata/influxdb,3705,2144,702,209657,0,0,31502
VectifyAI/PageIndex,2694,154,134,24277,0,0,31498
ValveSoftware/Proton,1441,5084,386,153142,1,0,31497
dgtlmoon/changedetection.io,1778,334,104,24482,1,0,31484
CopilotKit/CopilotKit,4068,480,159,743449,1,0,31471
eriklindernoren/ML-From-Scratch,5270,73,966,553,1,0,31467
shardeum/shardeum,705,87,295,29293,0,0,31448
VSCodium/vscodium,1709,131,232,33177,0,0,31446
coolsnowwolf/lede,19343,841,713,319573,1,0,31445
donnemartin/interactive-coding-challenges,4638,75,959,7768,1,0,31431
zeroclaw-labs/zeroclaw,4620,485,69,98165,1,1,31396
iawia002/lux,3302,542,380,2566,0,0,31365
qdrant/qdrant,2268,534,150,52540,0,1,31359
mathiasbynens/dotfiles,8526,188,653,850,0,0,31343
refined-github/refined-github,1754,114,226,27627,1,0,31343
XIU2/TrackersListCollection,1783,1,332,17211,0,1,31298
parallax/jsPDF,4801,112,471,142705,0,1,31226
docsifyjs/docsify,5818,103,266,30696,1,1,31207
fabricjs/fabric.js,3626,464,463,247708,1,0,31164
tqdm/tqdm,1448,612,210,6053,1,1,31156
Lightning-AI/pytorch-lightning,3723,1010,257,133715,0,0,31142
